year,zone_id,zone_type,name,image_count,valid_pixel_count,total_pixel_count,valid_coverage_percent
2022,urban_01,urban,Leh urban settlement,30,16741.58823529411,16741.58823529411,100.0
2023,agriculture_01,agricultural,Irrigated agricultural land,27,3262.3882352941155,3262.3882352941155,100.0
2023,aoi_leh_immediate,aoi,Leh town and immediate surroundings,27,38054.058823529376,38054.058823529376,100.0
2023,natural_01,natural,Natural mountain,27,4310.784313725495,4310.784313725495,100.0
2023,urban_01,urban,Leh urban settlement,27,16741.58823529411,16741.58823529411,100.0
2024,agriculture_01,agricultural,Irrigated agricultural land,18,3262.3882352941155,3262.3882352941155,100.0
2024,aoi_leh_immediate,aoi,Leh town and immediate surroundings,18,38054.058823529376,38054.058823529376,100.0
2024,natural_01,natural,Natural mountain,18,4310.784313725495,4310.784313725495,100.0
2024,urban_01,urban,Leh urban settlement,18,16741.58823529411,16741.58823529411,100.0
2025,agriculture_01,agricultural,Irrigated agricultural land,12,3262.3882352941155,3262.3882352941155,100.0
2025,aoi_leh_immediate,aoi,Leh town and immediate surroundings,12,38054.058823529376,38054.058823529376,100.0
2025,natural_01,natural,Natural mountain,12,4310.784313725495,4310.784313725495,100.0
2025,urban_01,urban,Leh urban settlement,12,16741.58823529411,16741.58823529411,100.0
